eval,T,current_cost,best_cost,accepted
2834,0.00017096400402209986,587.0,587.0,0
2835,0.00017010918400198937,587.0,587.0,0
2836,0.0001692586380819794,587.0,587.0,0
2837,0.0001684123448915695,587.0,587.0,0
2838,0.00016757028316711166,587.0,587.0,0
2839,0.0001667324317512761,587.0,587.0,0
2840,0.00016589876959251972,587.0,587.0,0
2841,0.00016506927574455713,587.0,587.0,0
2842,0.00016424392936583435,587.0,587.0,0
2843,0.00016342270971900517,587.0,587.0,0
2844,0.00016260559617041015,587.0,587.0,0
2845,0.0001617925681895581,587.0,587.0,0
2846,0.0001609836053486103,587.0,587.0,0
2847,0.00016017868732186725,587.0,587.0,0
2848,0.00015937779388525792,587.0,587.0,0
2849,0.00015858090491583163,587.0,587.0,0
2850,0.00015778800039125247,587.0,587.0,0
2851,0.00015699906038929622,587.0,587.0,0
2852,0.00015621406508734974,587.0,587.0,0
2853,0.000155432994761913,587.0,587.0,0
2854,0.00015465582978810345,587.0,587.0,0
2855,0.00015388255063916294,587.0,587.0,0
2856,0.00015311313788596713,587.0,587.0,0
2857,0.0001523475721965373,587.0,587.0,0
2858,0.00015158583433555462,587.0,587.0,0
2859,0.00015082790516387685,587.0,587.0,0
2860,0.00015007376563805745,587.0,587.0,0
2861,0.00014932339680986717,587.0,587.0,0
2862,0.00014857677982581783,587.0,587.0,0
2863,0.00014783389592668873,587.0,587.0,0
2864,0.0001470947264470553,587.0,587.0,0
2865,0.00014635925281482004,587.0,587.0,0
2866,0.00014562745655074595,587.0,587.0,0
2867,0.0001448993192679922,587.0,587.0,0
2868,0.00014417482267165224,587.0,587.0,0
2869,0.000143453948558294,587.0,587.0,0
2870,0.00014273667881550253,587.0,587.0,0
2871,0.000142022995421425,587.0,587.0,0
2872,0.00014131288044431787,587.0,587.0,0
2873,0.0001406063160420963,587.0,587.0,0
2874,0.0001399032844618858,587.0,587.0,0
2875,0.00013920376803957637,587.0,587.0,0
2876,0.0001385077491993785,587.0,587.0,0
2877,0.0001378152104533816,587.0,587.0,0
2878,0.00013712613440111467,587.0,587.0,0
2879,0.00013644050372910909,587.0,587.0,0
2880,0.00013575830121046354,587.0,587.0,0
2881,0.00013507950970441122,587.0,587.0,0
2882,0.00013440411215588917,587.0,587.0,0
2883,0.00013373209159510974,587.0,587.0,0
2884,0.00013306343113713418,587.0,587.0,0
2885,0.0001323981139814485,587.0,587.0,0
2886,0.00013173612341154127,587.0,587.0,0
2887,0.00013107744279448357,587.0,587.0,0
2888,0.00013042205558051116,587.0,587.0,0
2889,0.0001297699453026086,587.0,587.0,0
2890,0.00012912109557609557,587.0,587.0,0
2891,0.0001284754900982151,587.0,587.0,0
2892,0.00012783311264772401,587.0,587.0,0
2893,0.00012719394708448538,587.0,587.0,0
2894,0.00012655797734906294,587.0,587.0,0
2895,0.00012592518746231763,587.0,587.0,0
2896,0.00012529556152500603,587.0,587.0,0
2897,0.000124669083717381,587.0,587.0,0
2898,0.0001240457382987941,587.0,587.0,0
2899,0.00012342550960730013,587.0,587.0,0
2900,0.00012280838205926364,587.0,587.0,0
2901,0.00012219434014896732,587.0,587.0,0
2902,0.00012158336844822248,587.0,587.0,0
2903,0.00012097545160598137,587.0,587.0,0
2904,0.00012037057434795146,587.0,587.0,0
2905,0.0001197687214762117,587.0,587.0,0
2906,0.00011916987786883063,587.0,587.0,0
2907,0.00011857402847948648,587.0,587.0,0
2908,0.00011798115833708904,587.0,587.0,0
2909,0.00011739125254540359,587.0,587.0,0
2910,0.00011680429628267658,587.0,587.0,0
2911,0.00011622027480126319,587.0,587.0,0
2912,0.00011563917342725687,587.0,587.0,0
2913,0.00011506097756012059,587.0,587.0,0
2914,0.00011448567267231999,587.0,587.0,0
2915,0.00011391324430895839,587.0,587.0,0
2916,0.0001133436780874136,587.0,587.0,0
2917,0.00011277695969697653,587.0,587.0,0
2918,0.00011221307489849164,587.0,587.0,0
2919,0.00011165200952399918,587.0,587.0,0
2920,0.00011109374947637918,587.0,587.0,0
2921,0.00011053828072899729,587.0,587.0,0
2922,0.0001099855893253523,587.0,587.0,0
2923,0.00010943566137872553,587.0,587.0,0
2924,0.0001088884830718319,587.0,587.0,0
2925,0.00010834404065647274,587.0,587.0,0
2926,0.00010780232045319037,587.0,587.0,0
2927,0.00010726330885092442,587.0,587.0,0
2928,0.0001067269923066698,587.0,587.0,0
2929,0.00010619335734513645,587.0,587.0,0
2930,0.00010566239055841077,587.0,587.0,0
2931,0.00010513407860561872,587.0,587.0,0
2932,0.00010460840821259063,587.0,587.0,0
2933,0.00010408536617152767,587.0,587.0,0
2934,0.00010356493934067004,587.0,587.0,0
2935,0.00010304711464396669,587.0,587.0,0
2936,0.00010253187907074686,587.0,587.0,0
2937,0.00010201921967539312,587.0,587.0,0
2938,0.00010150912357701615,587.0,587.0,0
2939,0.00010100157795913108,587.0,587.0,0
2940,0.00010049657006933543,587.0,587.0,0
2941,9.999408721898875e-05,587.0,587.0,0
2942,9.94941167828938e-05,587.0,587.0,0
2943,9.899664619897933e-05,587.0,587.0,0
2944,9.850166296798444e-05,587.0,587.0,0
2945,9.800915465314451e-05,587.0,587.0,0
2946,9.751910887987879e-05,587.0,587.0,0
2947,9.703151333547939e-05,587.0,587.0,0
2948,9.654635576880199e-05,587.0,587.0,0
2949,9.606362398995798e-05,587.0,587.0,0
2950,9.558330587000819e-05,587.0,587.0,0
2951,9.510538934065815e-05,587.0,587.0,0
2952,9.462986239395485e-05,587.0,587.0,0
2953,9.415671308198507e-05,587.0,587.0,0
2954,9.368592951657514e-05,587.0,587.0,0
2955,9.321749986899227e-05,587.0,587.0,0
2956,9.27514123696473e-05,587.0,587.0,0
2957,9.228765530779907e-05,587.0,587.0,0
2958,9.182621703126007e-05,587.0,587.0,0
2959,9.136708594610377e-05,587.0,587.0,0
2960,9.091025051637325e-05,587.0,587.0,0
2961,9.045569926379139e-05,587.0,587.0,0
2962,9.000342076747243e-05,587.0,587.0,0
2963,8.955340366363507e-05,587.0,587.0,0
2964,8.910563664531689e-05,587.0,587.0,0
2965,8.866010846209031e-05,587.0,587.0,0
2966,8.821680791977986e-05,587.0,587.0,0
2967,8.777572388018097e-05,587.0,587.0,0
2968,8.733684526078006e-05,587.0,587.0,0
2969,8.690016103447616e-05,587.0,587.0,0
2970,8.646566022930377e-05,587.0,587.0,0
2971,8.603333192815725e-05,587.0,587.0,0
2972,8.560316526851647e-05,587.0,587.0,0
2973,8.517514944217388e-05,587.0,587.0,0
2974,8.474927369496301e-05,587.0,587.0,0
2975,8.43255273264882e-05,587.0,587.0,0
2976,8.390389968985575e-05,587.0,587.0,0
2977,8.348438019140648e-05,587.0,587.0,0
2978,8.306695829044944e-05,587.0,587.0,0
2979,8.265162349899719e-05,587.0,587.0,0
2980,8.22383653815022e-05,587.0,587.0,0
